,x_coord,y_coord
Armor for Sleep,13.8275816115,4.71775790938
Arovane,-7.97725984378,2.62163406688
Art of Fighters,-10.74654906,-15.5427988407
Ash Ra Tempel,-23.8953761796,-15.633696703
Ashbury Heights,-3.71147294067,-2.15669465443
Ashlee Simpson,-1.36885496281,15.1613612974
Ashley Tisdale,-1.64416081707,17.9270890738
Assemblage 23,7.26208897696,-17.2737124293
Astral Projection,-11.4749332558,-14.1681314973
At the Drive-In,-18.2209110006,6.17762812676
Atomic Kitten,-1.58542720605,15.1084245769
Audio Bullys,-2.68592782023,5.42506457954
Audioslave,-9.07696721738,-7.90667566798
August Burns Red,-0.750486258424,-13.94064641
Aural Vampire,-4.78487127751,-3.20571941084
Autechre,-8.1029828102,1.01439488391
Automatic Loveletter,-18.0461003402,6.52073187192
Avril Lavigne,0.283279726038,13.5784668643
Axenstar,-12.9099955474,-18.1896440266
Ayria,5.41908942739,-17.3524607633
B! Machine,-4.32654550692,-3.43754628825
B-Movie,11.3807384884,-8.22838253922
B.o.B,-1.81433035287,6.6211889862
BT,9.68942594035,13.4819331587
BUCK-TICK,-14.7331643471,-15.6235347828
Babylonia,-4.87275216407,-3.29650861007
Babyshambles,-9.88882926794,12.3073988677
Backstreet Boys,-4.36620674637,19.4168716
Bamboo Forest,-11.4752402641,-14.1670836979
Band of Skulls,-17.2635130985,4.26249738964
Barón Rojo,-9.55589418501,-16.3264184189
Basshunter,3.46051725216,2.6116597501
Bat for Lashes,7.24862254099,7.01620005891
Bauhaus,10.5865792518,-8.34525458942
Beach House,-0.455074133861,-9.71099081781
Bear McCreary,17.473482858,0.3221672896
Beborn Beton,4.51970057249,-17.4783759382
Beirut,-10.4673303161,12.3720441805
Belanova,-2.98836821277,-10.2163770625
Belinda,-4.61052397976,16.2566947411
Belle and Sebastian,-0.742485411915,-10.1188606471
Ben Kweller,-6.69947269944,-15.4760707388
Ben Moody,-17.1193573988,-0.119785980893
Beyoncé,-12.3634028101,-19.0096053124
Biffy Clyro,-23.6459618816,-16.1870732593
Big Bad Voodoo Daddy,-6.21134394288,-20.755483318
Big Brotherz,-10.1621259167,4.93949231045
Big Dismal,-21.1594825239,-13.6605361264
Bill Evans,15.9287851096,-3.62963649369
Billy Idol,6.05017057796,-2.9569402727
Billy Talent,12.1052540626,4.11954372148
Biomechanical,-8.50015023977,-20.7117993554
Biosphere,-9.18362840362,4.92949690164
Bittencourt Project,-20.4190331967,-16.5622531691
Björk,9.86901770852,7.79671590533
Black Eyed Peas,-3.10112599945,11.4403688943
Black Kids,19.0172227619,-4.20491533439
Black Milk,-2.75353024637,6.65427535737
Black Rebel Motorcycle Club,-17.063233797,3.37202338288
Black Sabbath,-19.3041065148,12.337091597
Black Veil Brides,-20.8890883024,-17.614076982
Blank,6.79854078037,-16.2883624495
Blank & Jones,10.1244202393,13.197216338
Blaqk Audio,6.81152746092,-17.8692705174
Blind Passengers,-4.35192540611,-3.44052665887
Blindside,-20.4214175944,-15.7510880763
Bloc Party,-10.4054660371,11.7422415434
Blonde Redhead,-4.95220720566,-18.2748177515
Blondie,11.826682534,-7.8751506018
Bloodhound Gang,-17.2466595453,0.52340114066
Blue,0.756831638785,13.6761859107
Blue Planet Corporation,1.56771099066,3.18539000065
Blur,12.4975191523,6.01710725549
Blutengel,-5.19688306925,19.3552696162
Blutonium Boy,-5.54177864329,-10.1655243348
Bob Dylan,-18.358647272,12.7795532099
Bob Marley,-12.1926732118,-22.2564122145
Bola,-8.00380108596,0.70618963295
Bon Jovi,-20.0379234809,-15.4962160795
Bonanza Banzai,4.4461708441,-2.82718908794
Bond,-10.6988230034,-17.9096245383
Boris,19.6115464897,-3.86466775276
Brand New,-17.2784921298,4.10237705932
Brandon Flowers,-21.9111309177,-13.0386899033
Brandy,-11.7960480587,-20.0954393982
Breaking Benjamin,11.2155034758,4.08865969852
Brennan Heart,-9.65168059641,-22.6403816401
Brian Eno,13.5437378798,6.59122215411
Bright Eyes,-6.45204967735,-13.1502082833
Bring Me The Horizon,-10.4458302897,-18.5428040854
Britney Spears,-0.738694403568,16.2250000699
Broken Bells,-10.2611006536,13.0826600815
Brooklyn Bounce,8.50481318188,12.9290153089
Brooks & Dunn,-10.9522958404,-19.7291656151
Brown Eyed Girls,-11.4600617033,-1.52394757846
Bruce Dickinson,-14.2732578371,-18.6279047237
Bruderschaft,-4.97771016359,-7.54457943297
Bruno Mars,-1.6618712137,20.3259227588
Brygada Kryzys,-9.92576859507,-19.6885792726
Bubba Sparxxx,-10.3417578155,-20.3658050599
Buena Vista Social Club,15.9287144098,-3.62964270473
Bullet for My Valentine,-0.67983412721,-14.037067619
Butch Walker,-17.0506858358,3.14817119557
Butthole Surfers,-3.24485723775,-18.7750977878
CAKE,-18.2665387813,6.27888118109
CODE NAME: K1LL,3.78252049398,-12.6567632422
Cab Calloway,-6.19986999821,-20.7606078347
Café Del Mar,-6.61179187848,5.4770295029
Calabrese,-17.6239206415,-12.5203485701
Calvin Harris,1.40474430766,-1.6961641064
Canibus,-4.90691233541,-24.3706182065
Cannibal Ox,-6.05946709072,-24.7179318492
Cansei de Ser Sexy,-8.40355427701,12.5075838954
Carbon Based Lifeforms,-9.64415496029,4.45446518489
Carole King,-11.4464666411,-1.43743417421
Cary Brothers,-17.4028116977,4.18261089781
Cascada,7.31656440854,13.5622556157
Casino Versus Japan,-8.15258645627,3.27181717389
Cause & Effect,5.55431139891,-1.77067054608
Caustic,2.09970335232,-15.328455554
Celldweller,3.99238982405,-6.37407218863
Cesium:137,6.91862459797,-18.010803447
Chamillionaire,-1.81247249612,6.62122386958
Charles Mingus,15.9187353955,-3.64640047984
Charlie Parker,15.9194470166,-3.64658315519
Charon,-8.91153948373,-19.3601700481
Cher,-0.219851379412,0.158129763842
Cheryl Cole,-4.56713713665,20.3040794603
Chester Bennington,11.2636602163,4.7487068984
Chet Baker,15.9091741175,-3.64523299493
Chicane,-9.07449326856,5.32096468106
Chicks on Speed,-4.87673826977,-10.7040300544
Children Within,-4.66724559924,-3.35695254945
Children of Bodom,-14.3485913307,-18.4296742621
China Crisis,14.5228931002,-7.10412102591
Chingy,-2.13874646232,7.64172366151
Chino XL,-5.97078438764,-24.8241871659
Chris Botti,15.9194501254,-3.64601757162
Chris Brown,-2.12027965624,7.69308358293
Chris Clark,-1.45143990082,-2.74154323558
Christian Death,-7.76013446315,-18.7440661763
Christina Aguilera,-4.15206033722,19.7792974921
Chromeo,-1.68697615438,-6.2006865425
Chuck Berry,-19.3044431645,12.3369460912
Chylińska,-20.4020692702,-15.7503852399
Cinema Bizarre,-17.261711457,0.717254002929
Cinema Strange,-7.76663830084,-18.8347241415
City and Colour,-10.3467130409,12.3468882348
Claire Voyant,-6.59966692819,-17.1980409689
Clan of Xymox,0.919218916217,3.26914629048
Clap Your Hands Say Yeah,-8.39358824824,-17.3748263197
Clark,-8.15166265112,3.27144852882
Claude Debussy,-10.1004695796,-16.7137016157
Client,-4.45787882168,-15.5973436231
Clint Mansell,15.9962345019,0.244771554077
Closterkeller,-6.71932053462,-18.1724330785
Clutch,-11.0564359687,-18.0675968991
Cobra Starship,12.4975671289,6.0178686284
CocoRosie,-8.53086294991,12.525305515
Code 64,-5.01082430915,-7.52980909753
Coil,-10.6469850198,5.08033710489
Colby O'Donis,-17.9019618173,-4.89085002457
Cold,11.2714050975,4.21632214879
Coldplay,-9.1132548046,-8.10327486855
Colin Newman,11.4127012772,-10.6110819709
Colony 5,-12.8643386352,-16.8434510351
Coma,-18.3977789121,-0.0405081973911
Combichrist,3.98785357047,-9.3546725598
Composition Of Sound,4.77609002043,-1.88949479341
Cook Da Books,5.98385370156,-2.72805240632
Corona,-8.23435616683,-16.1081692762
Cosmic Gate,10.7277048861,13.2094411278
Cosmicity,-10.7908648772,-11.8842616615
Covenant,7.49233938081,-17.3994780126
Craig David,-1.66181959309,20.3258170308
Criss Angel,4.34187391158,-8.52460085027
Cryo,7.19794003075,-16.9301812857
Crystal Castles,3.81029636115,-0.0416121181672
Cujo,2.14399191716,3.45378751839
Culture Club,14.660641312,-7.07549693818
Culture Kultür,6.86661679295,-17.9634752627
CunninLynguists,-6.09247953358,-24.5284631815
Cut Copy,4.2096521914,12.6962161395
Cypress Hill,15.9895721946,6.70836736364
DIR EN GREY,-20.2439016563,-16.7734669937
DJ Krush,-14.584061799,-7.78908074088
DJ Shadow,15.5024902331,6.5236985324
DJ Sharpnel,-10.7322293016,-15.5480901884
DJ Vadim,-2.75682444259,6.69480778851
Daft Punk,3.63541927798,2.00955808973
Damon Albarn,4.1935475222,12.7139071921
Dannii Minogue,-1.20748301398,16.067579205
Danny Elfman,17.473470737,0.322167170692
Dark Phenomenon,4.41119369413,-2.93401504071
Darkstar,-5.68720968581,5.79938820157
Darren Hayes,-3.41957549622,22.0330344532
Darude,8.16394890759,12.9952263962
Das Pop,-3.80327642354,20.3048970049
Daughtry,-17.2664442987,-0.00516481231971
Dave Gahan,2.18606937265,3.67813739341
David Bowie,14.7876093701,4.92948384089
David Gray,-10.9564209859,-18.5984822007
David Guetta,0.149881585065,-6.73471620787
David Hodges,-9.13021870543,-8.09781908768
David Vendetta,0.111215961768,-6.74065990905
Dawn of Ashes,3.43294601013,-13.1441044439
De La Soul,-6.09260157692,-24.5282638767
De/Vision,-4.53054729874,-3.96732783073
Dead by April,-0.494317280003,-14.2412073673
Dead by Sunrise,11.2637269233,4.74846546775
Dead or Alive,14.6908685739,-7.07292218537
Dean Martin,-6.22381958265,-20.748675098
Death Cab for Cutie,-16.6855736751,3.74427682779
Decence,-5.16749821789,-4.45833617333
Decoded Feedback,4.34446226971,-8.6620261663
Deep Forest,-9.09946980935,4.51110733427
Def Leppard,-3.39616551639,-12.636456759
Deftones,11.9234142048,4.71637812203
Deine Lakaien,-4.78543413988,-3.20510371426
Del tha Funkee Homosapien,-6.06278237121,-24.7360200001
Delerium,9.15003919457,15.0180345269
Demented Are Go!,-17.0584964187,-11.8033172166
Denise Rosenthal,-11.9046994186,-18.8862234635
Depeche Mode,4.6916636217,-1.43127264341
Despoina Olympiou,-18.6286253847,1.08995397829
Destroid,6.79854423773,-16.2883448309
Destroyer,-10.4099371164,11.742063103
Deviant UK,4.34446219691,-8.66202615813
Devo,11.594148425,-8.3986772274
Diary of Dreams,-5.67938761612,-10.2642368888
Dick Dale,-2.47645962139,-19.8752099006
Dick Dale and His Del-Tones,-2.84950270616,-19.8260647995
Dido,2.2251665916,9.7698375044
Die Sektor,3.73737137427,-12.7189519047
Die So Fluid,-9.08366299211,-7.93257748909
Die Ärzte,-23.8789919461,-15.6207585319
Digital Summer,11.9471952858,4.10492720369
Digitalism,3.54775752086,2.13235355298
Diorama,4.58037969211,-17.4805939097
Dioxyde,3.73737266224,-12.7189642841
Dire Straits,-10.5723579767,-17.1611832197
Disfuncion Organica,6.09570836772,-15.1356703048
Diskonnekted,6.79853943085,-16.2883610715
Dismantled,6.79854108678,-16.2883618754
Dismember,-20.3801257492,-9.08105794317
Distance,-9.06523857972,-18.4862097798
Disturbed,-19.1683076244,-16.1245950101
Diyana,-5.15716999492,16.8364517687
Donkey Rollers,-9.66246874827,-22.5754285767
Donkeyboy,3.21423680999,9.051423045
Dope,-10.8315144268,-18.6479554086
Dope Stars Inc.,4.23624570675,-8.37498721352
Doppelganger,-6.69228609338,-18.1460883679
Dr. Dre,-3.29021196106,3.30584967059
Dr. Sin,-2.10169619378,-13.620033761
Dragonette,-11.316951917,-1.93066491253
Drake,-2.16664279622,7.32670536151
Dream Evil,-16.0949881907,-16.2628895317
Dream Theater,-16.0742226428,-16.6302489271
Drowning Pool,-1.56415953499,-13.4449567853
Drudkh,19.6242918912,-3.95918149122
Dubioza Kolektiv,-12.1997149176,-22.2688104745
Duffy,-8.675637428,12.8340109542
Duncan Dhu,11.7084164724,-11.4289021994
Duran Duran,11.8387025132,-7.82629375457
Dusty Springfield,-4.50796643531,16.4470471691
Dżem,-11.0559504309,-18.0670425388
E-Craft,4.34446223996,-8.66202620644
EPMD,-2.15138016832,6.17992452766
Eat Static,-11.4898080313,-14.114138173
Eat Your Make-Up,-10.9564561965,-18.59850532
Echo & The Bunnymen,11.5788156413,-8.37369049567
Echo Image,-5.27612154734,-4.57122932073
Edge of Dawn,4.4035192829,-17.4835373167
Editors,-17.3119435378,4.28924937166
Edvin Marton,18.405308163,0.447178050629
Edyta Górniak,-4.61052397623,16.2566944882
Einstürzende Neubauten,-9.81715106125,-4.38897520467
Eisley,-9.60116935121,-18.9241916487
Electric Light Orchestra,-19.1682776619,12.2910028461
Electric Universe,7.70003064555,11.0865600764
Electrocute,-11.3932689781,12.4061339272
Eleftheria Eleftheriou,-5.28346365063,14.3471734927
Elizabeth & The Catapult,-0.436158046457,-9.69188809997
Ella Fitzgerald,-11.4464677232,-1.43743431156
Ellie Goulding,-8.56626464601,12.5132953083
Elliott Smith,-11.2538932711,-10.9699174153
Elton John,-4.98212323857,20.430782085
Elvis Costello,14.6124610822,-7.09059348366
Emery,-16.6868187318,-8.20838780368
Emilie Autumn,14.2356494336,3.6979104989
Eminem,-1.37996786267,7.30765015416
Enigma,-9.25447917946,4.99343837467
Ennio Morricone,15.8516678107,0.247885240479
Enya,-10.6235053295,-17.745161755
Epica,-1.21842189506,-15.3100938104
Eric Prydz,8.19691541307,12.9980949459
Erik Hassle,2.20409616923,9.78764706729
Escape The Fate,-16.0692171914,-9.12115533151
Esplendor Geométrico,11.7096186309,-11.4816946949
Europe,-21.0049569111,-15.3552291397
Eurythmics,14.6069926126,-7.0956888949
Evading Downfall,-9.62857751567,-20.3045102279
Evan Taubenfeld,0.766383841886,13.1215084547
Evanescence,-18.617121187,1.09220510827
Everlast,-8.14226496628,-17.2719534345
Evil Masquerade,-12.3782763784,-18.1445222509
Evil's Toy,7.4647310786,-15.327286145
Evridiki,-19.7785374998,1.53568311605
Explosions in the Sky,-11.2554295465,-16.2726964399
Faderhead,-4.45124069155,-7.33879532823
Fairuz,-11.6835750349,-17.3771055986
Faith No More,-23.7388796803,-16.1791010753
Faith and the Muse,-6.57268221672,-17.2710291126
Fake,4.7671205771,-2.48601627905
Faktion,-21.351059561,-13.5092604469
Fall Out Boy,-21.9021978702,-16.3668609472
Fangoria,-4.5578815841,-2.71877333016
Fear Factory,0.377711174021,-12.5670271283
Feindflug,2.0949880381,-15.3327298955
Felix da Housecat,-4.56365708077,-15.1967753102
Fennesz,-10.1127223314,-17.7228578252
Fergie,-1.33516072278,19.0010149922
Ferry Corsten,7.95179697661,11.9142668987
Fever Ray,-10.4621388145,3.70755170634
Fey,-12.7861245597,-18.9118260191
Fightstar,-21.737765201,-13.241907409
Filter,-12.7534073491,-15.6521243457
Final Selection,-4.98360211319,-7.55228005372
Finch,13.8282756232,4.78435177683
Fischerspooner,-4.37048405123,-14.7499043833
Flagelo Urbano,-11.0559526678,-18.0671000591
Flamin' Groovies,-9.12185689403,-10.2948696751
Fleet Foxes,-10.3467134016,12.3468876696
Fleetwood Mac,-3.81062767928,20.2926412956
Flesh Field,7.5961827742,-14.3241047066
Florence + the Machine,-0.447983360146,-9.66869071498
Flotsam and Jetsam,-20.3834672249,-9.05794227047
Fluke,3.5974425627,2.28389611179
Flunk,-14.5840617272,-7.78908072343
Flying Lotus,-14.5666173614,-7.77586575917
Flyleaf,-16.9492741364,1.10938614738
Foals,-18.3314098166,6.19057640539
Foo Fighters,-21.3127198796,-13.244750669
Fort Minor,-1.81189103168,6.61090536787
Four Tet,-8.10298288072,1.01439491827
Fragma,9.44154040393,14.0118792862
Frank Sinatra,15.604034248,-3.63920934134
Frank Zappa,-13.1607028408,-12.6965906374
Frantic Flintstones,-17.606572066,-12.4908996298
Franz Ferdinand,12.4972127086,6.01799026193
Freddie Mercury,1.07793330568,12.5922707045
Freemasons,7.56476439364,13.3429233521
Fresno,-18.3419143263,0.95977402057
Front 242,8.31664095425,-16.6284347472
Front Line Assembly,4.21006841201,-8.93939749457
Frozen Plasma,-4.983599375,-7.5522748748
Frédéric Chopin,-10.0616368813,-16.6248274721
Fuel,-17.449984073,0.536367791499
Fugazi,-10.8618306153,12.5071761995
Fukkk Offf,-0.531685707299,-6.54053394716
Funeral for a Friend,-16.6937403159,-8.20150498352
Funker Vogt,-5.50018813588,-10.1049370962
GACKT,-14.8919016931,-14.3045199645
GD&TOP,-10.4622687736,-18.60679188
Galneryus,-16.0949879042,-16.2628899058
Gang Starr,-1.98230066938,4.24696904033
Garbage,-18.3419168863,0.959771910787
Gavin DeGraw,-6.72790440069,-15.5023144514
Gavin Rossdale,-17.4006060724,0.643624585614
Genesis,-23.7188205273,-16.1821118226
Geri Halliwell,-2.41801535317,16.0103734682
Gin Blossoms,12.4975889101,6.01787028481
Giorgos Papadopoulos,15.05856121,4.98672795962
Girls Aloud,-4.65785760083,20.334707748
Glee Cast,-10.4139014771,-18.1783946347
Glis,7.16696408626,-16.9397911805
Gnarls Barkley,13.7376833217,5.66829587081
God Is an Astronaut,-9.50313730051,5.79804426832
God Module,6.7985410979,-16.2883618833
Godflesh,4.34446222789,-8.66202621056
Godsmack,-18.6314456982,-15.5445143519
Gogol Bordello,-11.8628149414,-21.5338969558
Goldfinger,10.787515995,-10.2248189218
Goldfrapp,9.28605409539,8.3891755427
Goo Goo Dolls,11.6313960869,5.33901727537
Good Charlotte,-20.6033783116,-16.5929552683
Gorillaz,-17.3263576979,5.40535733313
Gosia Andrzejewicz,-3.29165554242,16.0087176483
Green Day,-13.8685030611,-10.0142522704
Gregorian,-9.07055672281,4.56976001388
Grendel,4.58051931875,-10.6492891616
Grey Daze,-17.185257673,0.450355373096
Groove Armada,3.51033463144,2.13775922675
Groove Coverage,8.76671219366,13.2060458121
Grossstadtgeflüster,-4.56365967604,-15.1967838857
Guano Apes,-17.8478225954,-0.261119637357
Guf,-2.75682438437,6.6948078605
Guru Josh Project,-11.0558439348,-18.0669884042
Gwen Stefani,-3.39193130159,16.0761463417
HIM,-22.9519487795,-15.832901541
HYDE,-14.8917609356,-14.304510572
Hallucinogen,-11.4761471338,-14.1815227183
Hammock,-9.07055629537,4.56976010873
Hande Yener,-11.4464677217,-1.43743431312
Hangar,-14.6209105676,-17.3283083909
Hard-Fi,-9.36178372822,-17.1929814559
Harel Skaat,-4.18680469938,19.1741480636
Haris Alexiou,-11.2228908408,-2.37663610104
"Harry Connick, Jr.",-6.21134395913,-20.755483315
Hasil Adkins,-14.3313147389,-10.2673692973
Haujobb,6.79854106124,-16.2883624183
Hawthorne Heights,-22.6849949731,-16.4752965107
Hayden Panettiere,-3.42075399737,22.0448258804
Hayley Williams,14.1311459421,7.38129557891
Headhunterz,-9.66246881029,-22.5754286764
Headscan,3.9620381544,-9.08898662911
Heaven 17,11.3065542822,-8.09275746155
Heidi Montag,-13.7647703612,-19.9739220857
Heimataerde,3.73737265455,-12.7189642817
Helalyn Flowers,-12.8153305918,-15.8188211021
Helios,-5.68531118469,5.88437001486
Herbie Hancock,15.0045141396,-3.44912680265
Hevia,18.8110188398,0.480649888243
Hex Rx,3.68954345803,-12.8063572518
Hibria,-13.3061242599,-17.7642436835
Hieroglyphics,-6.09333669185,-24.531176592
Hilary Duff,0.805363874604,13.5924765492
Hinder,-18.2762588111,-0.247766608607
Hirax,-20.3834672285,-9.05794226486
Hocico,6.39245326182,-13.8100475397
Holly Brook,-3.6060768683,19.1122187893
Holly Golightly,-2.18308052733,-18.8078869711
Holly Valance,-3.42066640423,22.0454052627
Hollywood Undead,-3.36356018996,3.10354634539
Hombres G,-9.45239902963,-16.1944606679
Hoobastank,-21.9111333054,-13.0386899402
Hot Chip,-2.87341485393,-10.2440630021
Hubert Kah,5.39601338394,-2.27380001135
Hungry Lucy,-5.09985913664,-3.26409825858
Hurricane Bells,-17.2379165482,4.01973676541
Hurts,9.67782291429,8.08754323071
I Am Ghost,-16.7129156081,-8.17422026359
I Set My Friends On Fire,-16.713846941,-8.1728361811
IAMX,10.4542731835,7.96112560397
INXS,-20.8006314838,-19.2923608939
IRA,-9.12185687421,-10.2948699045
ISAN,-9.0705562569,4.56976011927
Ian Van Dahl,8.19578830295,13.0395156875
Ice Ages,0.857233064164,3.19932816473
Icon of Coil,7.23943225046,-17.2462012539
Idiot Pilot,-10.5765187935,12.3605960414
Iggy Pop,-11.1054471974,-11.2566585388
Il Divo,-9.79958139499,-15.0271946527
Ill Niño,-0.811190790939,-13.816575947
Illusion of Light,-5.22628013267,-4.48787443213
Imogen Heap,-8.5816977556,12.5425054433
Imperative Reaction,6.80850011971,-17.9105097625
In Flames,-0.908030330846,-14.3444839914
In Strict Confidence,6.42078773882,-16.7010630799
In[Perfektion],3.03666013945,-12.2260831546
Inara George,-6.42463467829,-13.1308686434
Incubus,-18.388478435,-0.115824920551
Infected Mushroom,9.95191117231,14.4782522092
Information Society,11.380834131,-8.22802415103
Inline.seX.Terror,4.65003221157,-10.288494149
Inna,-0.63224899612,17.1292263257
Interpol,12.4975485859,6.01786900491
Iron Maiden,-2.24800159469,-13.7005287844
Isis,-10.9564366312,-18.5984732098
Ivi Adamou,-1.76891869525,20.2101012751
Ja Rule,-2.02769855316,6.45434689266
Jack Off Jill,-11.4464677085,-1.43743431244
Jadakiss,-2.2860691939,6.813311912
James Blunt,-3.17744544519,21.6831596605
James Newton Howard,17.4734699108,0.322167168717
Jamie Cullum,14.7549101147,-3.2594425783
Jamiroquai,-12.3265008891,-17.4431293026
Janaynna Targino,-3.73640667303,20.2159386339
Jane Air,12.497174656,6.01798919659
Jane's Addiction,-16.1174089514,-0.00412939866769
Janis Joplin,-6.72790431918,-15.5023144507
Japan,11.4131571613,-8.45039046377
Jason Derülo,-1.66185424397,20.3258881796
Jason Walker,3.5553202972,2.66535596079
Javiera Mena,-10.9077399229,12.5105622596
Jay Brannan,0.111215961417,-6.74065991016
Jay Park,-10.9564710291,-18.5985280461
Jay-Z,-1.81247263624,6.62122381383
Jay-Z and Linkin Park,16.0544244019,6.7383902651
Jedi Mind Tricks,-5.97065668724,-24.8238381377
Jeff Buckley,-6.43037451972,-13.13165619
Jem,-15.5810890892,4.36491610873
Jennifer Lopez,-0.582646396071,15.416925305
Jeremih,-17.9151438131,-4.89412021176
Jesse McCartney,-1.60451353402,20.3597346192
Jessica Simpson,-1.25423302007,14.2332993082
Jessy Matador,-2.1025883419,17.9513371787
Jesu,-9.43727857562,4.76140724093
Jet,-23.6870866393,-16.1854612329
Jewel,-4.42110342864,16.3680333776
Jimi Hendrix,-19.1328438174,12.2957363022
Jimmy Eat World,12.4975952732,6.01787069712
JoJo,-17.9152384115,-4.89412079332
Joe Jackson,14.6606450687,-7.07550274318
Joe Satriani,-22.0427323552,-16.471517254
Johan Agebjörn,3.9506956862,-0.211822899646
Johann Sebastian Bach,-5.97634888949,-11.7256081413
John Coltrane,15.9193736765,-3.64597566504
John Lennon,-6.72790440861,-15.502314507
John Petrucci & Jordan Rudess,18.4053077191,0.44717721051
Johnny Cash,-18.4382500511,12.6251037601
Jon Brion,-10.5551507269,13.6485326804
Josh Groban,-9.79955166392,-15.0275788882
