Id,hf_score
154,6.324275342000001
155,5.650600803
156,7.683066509
157,8.51592539
158,7.875984807000001
159,5.646142692000001
160,8.921385823
161,7.243405882
162,6.47066875
163,7.145358771000001
164,7.566805756
165,6.678371471
166,5.889429496
167,7.246718222999999
168,5.9536104860000005
169,6.147112259
170,7.145431918
171,5.895994521
172,8.536420793
173,6.997731122999999
174,6.928908738
175,6.088739601
176,6.799034323
177,6.721786358999999
178,6.681142972000001
179,7.736980347
180,6.9738695260000005
181,6.9966037839999995
182,7.792327162
183,5.9554019920000005
184,6.848034997
185,7.398385027000001
186,8.237023762
187,6.3476255020000005
188,5.942305867000001
189,7.881115021
190,8.145721961
191,6.570844416
192,6.588506477
193,8.072751354
194,7.011449233
195,6.443006919
196,8.640115087
197,5.671286501
198,6.513792261
199,5.457515592000001
200,7.47658543
201,6.847221294
202,6.5426879410000005
203,5.955378023
204,6.4114899770000005
205,6.775686062999999
206,8.251223064
207,8.294880707
208,6.849333258
209,6.157491413
210,8.78775905
211,6.602414736
212,6.743352196
213,8.227215073
214,7.181898147999999
215,8.131661511
216,7.138615991
217,8.366378111
218,6.513549844
219,7.257274211
220,7.990384338999999
221,7.728070903
222,6.3386059999999995
223,7.203384075
224,7.3972689229999995
225,8.814458177999999
226,7.706452047999999
227,6.183304314
228,7.523307205
229,5.467682725
230,8.565863321
231,6.151358657
232,8.082147484
233,6.829040234
234,8.196107569
235,6.086251752999999
236,5.867638264
237,7.27586445
238,6.682397717000001
239,7.395273675
240,5.8257606829999995
241,7.690944065
242,7.594676647000001
243,7.249368136
244,6.376908521
245,8.806932103
246,5.287816197
247,7.361486265
248,7.646338717000001
249,6.3454451689999996
250,6.9937493239999995
251,7.040544137
252,6.225721649
253,5.73117123
254,6.19978342
255,7.184779207999999
256,6.81612606
257,8.672342139
258,8.260846041
259,7.838760096000001
260,5.46788881
261,6.281298471
262,6.587587532000001
263,5.465421127000001
264,6.617297678
265,6.834334346
266,5.831699826
267,8.330284961
268,7.119652068
269,6.9547868
270,7.708622609
271,6.003389743
272,6.608428575
273,8.630312773
274,6.405152072999999
275,7.47916104
276,5.332457816
277,8.404652042999999
278,8.34638437
279,5.13271564
280,6.469824906
281,6.761207174
282,6.086469972000001
283,4.023595192
284,5.658577711
285,6.840968727999999
286,8.598394011
287,7.6695584210000005
288,6.727887227
289,6.51096085
290,8.059244209
291,5.4711242
292,6.093562166
293,8.472183957999999
294,6.593605143
295,7.232640781000001
296,4.907996375
297,6.71088474
298,8.627752135
299,7.141938322000001
300,5.2578793280000005
301,8.475109458
302,6.434490094
303,4.807276886
304,5.64990279
305,7.199153764
306,4.812704931
307,3.9108264289999997
308,6.577702609
309,5.050197673
310,6.954961063
311,7.1923647410000004
312,5.672234987
313,6.836647963
314,8.607840268
315,6.580361503
316,8.44331859
317,6.168259454
318,5.687288973999999
319,7.2146744720000004
320,6.565151297000001
321,8.494381097
322,6.677489081
323,5.582639607999999
324,5.29980609
325,6.798697378
326,4.629534556
327,8.504564702
328,6.567290732999999
329,5.801300179
330,6.0957052
331,6.185010122
332,6.469500551
333,6.230779139
334,7.001998445
335,7.229333061
336,6.855326361
337,7.739472887000001
338,6.597137367999999
339,9.028447907
340,6.221742299
341,7.5490422729999995
342,5.040691235
343,6.607284132
344,6.11168378
